Longitude,Latitude,Speed,Distance,Time,Acc X,Acc Y,Acc Z,Heading,gyro_x,gyro_y,gyro_z
0.0,0.0,0.0,0.0,15-47-33,0.07913685,-0.13618678,-0.07539058,149.0,0.037686113,0.01675237,0.022068117
0.0,0.0,0.0,0.0,15-47-33,0.0646162,-0.06906611,0.014208555,149.0,0.005310252,-0.029062524,-0.0017556266
0.0,0.0,0.0,0.0,15-47-33,0.056342125,0.013073325,0.023348093,149.0,0.005310252,-0.029062524,-0.0017556266
0.0,0.0,0.0,0.0,15-47-33,0.04247856,0.077813804,-0.0036149025,149.0,-0.027676472,0.006367659,-0.0054208185
0.0,0.0,0.0,0.0,15-47-33,0.14730835,0.08159596,0.13083649,149.0,-0.027676472,0.006367659,-0.0054208185
0.0,0.0,0.0,0.0,15-47-33,-0.23363113,0.07563028,-0.12507057,149.0,-0.032563392,0.062567264,0.05261138
0.0,0.0,0.0,0.0,15-47-33,-0.4270029,-0.013014317,-0.23876429,149.0,-0.056387138,0.25193548,0.088652425
0.0,0.0,0.0,0.0,15-47-33,0.21447468,0.009530783,0.06406593,149.0,-0.056387138,0.25193548,0.088652425
0.0,0.0,0.0,0.0,15-47-34,0.39593887,0.030941248,-0.52273154,149.0,0.10610302,0.12182119,0.059941765
0.0,0.0,0.0,0.0,15-47-34,0.44885826,-0.39540654,-0.4928615,148.0,0.10610302,0.12182119,0.059941765
0.0,0.0,0.0,0.0,15-47-34,0.36261463,-0.36167216,-0.7393534,147.0,0.22216742,0.07600629,-0.009696875
0.0,0.0,0.0,0.0,15-47-34,0.08282375,-0.5462118,-0.67210627,146.0,0.22216742,0.07600629,-0.009696875
0.0,0.0,0.0,0.0,15-47-34,-0.13954735,-0.5813656,-0.5039191,146.0,0.098161764,0.017974097,-0.046348788
0.0,0.0,0.0,0.0,15-47-34,0.30245876,0.34645373,0.0032801628,145.0,0.098161764,0.017974097,-0.046348788
0.0,0.0,0.0,0.0,15-47-34,-0.13481712,0.6615336,0.5885258,143.0,0.34678394,0.19145982,0.075213395
0.0,0.0,0.0,0.0,15-47-34,-0.15307713,0.66014653,0.5450311,142.0,0.103659555,0.22933348,-0.04146187
0.0,0.0,0.0,0.0,15-47-34,-1.002285,0.2936172,-0.1223712,141.0,0.103659555,0.22933348,-0.04146187
0.0,0.0,0.0,0.0,15-47-34,-0.8863654,0.773663,-0.22606182,141.0,-0.052721947,0.033856593,0.003131295
0.0,0.0,0.0,0.0,15-47-35,-0.73635197,0.47949618,0.1918726,142.0,-0.052721947,0.033856593,0.003131295
0.0,0.0,0.0,0.0,15-47-35,-0.5384331,0.57442045,-0.43362427,143.0,-0.12358231,-0.06754704,-0.17524137
0.0,0.0,0.0,0.0,15-47-35,0.053346634,0.075757295,1.4551091,143.0,-0.12358231,-0.06754704,-0.17524137
0.0,0.0,0.0,0.0,15-47-35,0.61419964,-0.42036623,-0.33572292,144.0,-0.27080083,0.38938016,0.14485204
0.0,0.0,0.0,0.0,15-47-35,0.0133218765,-0.11112106,-0.38136768,142.0,-0.27080083,0.38938016,0.14485204
0.0,0.0,0.0,0.0,15-47-35,-0.8476033,-0.48732334,0.22986937,140.0,0.23194125,0.06562159,0.16684319
0.0,0.0,0.0,0.0,15-47-35,-0.6636143,-0.9139821,-0.022559643,139.0,0.23255213,-0.22881547,0.05261138
0.0,0.0,0.0,0.0,15-47-35,-0.20984268,-0.66750133,0.427001,138.0,0.23255213,-0.22881547,0.05261138
0.0,0.0,0.0,0.0,15-47-35,-0.50270176,-0.021188736,0.54176235,139.0,-0.06982617,-0.22576115,-0.07444859
0.0,0.0,0.0,0.0,15-47-35,0.7360039,0.38047853,1.861794,138.0,-0.06982617,-0.22576115,-0.07444859
0.0,0.0,0.0,0.0,15-47-36,0.004137993,0.79019785,0.23459911,137.0,0.3858793,0.081504084,-0.040851
0.0,0.0,0.0,0.0,15-47-36,-0.8719382,0.7382152,-0.6957617,136.0,0.3858793,0.081504084,-0.040851
0.0,0.0,0.0,0.0,15-47-36,-1.2694921,0.6595677,0.09880018,135.0,0.14947446,-0.1701724,0.05261138
0.0,0.0,0.0,0.0,15-47-36,0.57834816,0.061314225,2.2752924,134.0,0.14947446,-0.1701724,0.05261138
0.0,0.0,0.0,0.0,15-47-36,0.6462631,-0.5884628,2.4453545,133.0,0.046849087,-0.38214263,0.11064358
