Longitude,Latitude,Speed,Distance,Time,Acc X,Acc Y,Acc Z,Heading,gyro_x,gyro_y,gyro_z
0.0,0.0,0.0,0.0,10-09-25,-0.20709038,0.00421506,-0.21245718,111.0,-0.0879255,-0.059282027,-0.0122857215
0.0,0.0,0.0,0.0,10-09-25,-0.04716587,0.11894539,-0.048289537,112.0,-0.0879255,-0.059282027,-0.0122857215
0.0,0.0,0.0,0.0,10-09-25,0.25892544,0.091218516,-0.09266853,112.0,-0.0879255,-0.059282027,-0.0122857215
0.0,0.0,0.0,0.0,10-09-25,-0.08124733,-0.09170455,0.12346029,112.0,0.017754186,0.03845641,-0.0354986
0.0,0.0,0.0,0.0,10-09-25,0.17827225,0.024184007,-0.10427642,112.0,0.017754186,0.03845641,-0.0354986
0.0,0.0,0.0,0.0,10-09-26,0.15572262,0.021633742,0.2554121,112.0,0.017754186,0.03845641,-0.0354986
0.0,0.0,0.0,0.0,10-09-26,0.026568413,0.04478826,-0.018053055,112.0,-0.0072912876,0.017686993,0.01703581
0.0,0.0,0.0,0.0,10-09-26,-0.0013017654,0.0066293553,0.070301056,112.0,-0.0072912876,0.017686993,0.01703581
0.0,0.0,0.0,0.0,10-09-26,0.040970802,-0.07466508,0.15929937,112.0,0.01592159,0.0048588226,-0.019005239
0.0,0.0,0.0,0.0,10-09-26,-0.010889053,-0.081468254,0.027285814,112.0,0.01592159,0.0048588226,-0.019005239
0.0,0.0,0.0,0.0,10-09-26,-0.0050907135,-0.03983597,0.08660388,112.0,0.01592159,0.0048588226,-0.019005239
0.0,0.0,0.0,0.0,10-09-26,0.04742527,0.055849753,0.00789547,112.0,3.9095376E-5,0.0060805525,-6.792821E-4
0.0,0.0,0.0,0.0,10-09-26,-0.016340256,-0.017658407,0.13460445,112.0,3.9095376E-5,0.0060805525,-6.792821E-4
0.0,0.0,0.0,0.0,10-09-26,-0.1069088,-0.004156096,0.030489922,112.0,3.9095376E-5,0.0060805525,-6.792821E-4
0.0,0.0,0.0,0.0,10-09-26,-0.10215378,-0.028831689,0.016596317,112.0,0.03180409,0.042732466,0.019479271
0.0,0.0,0.0,0.0,10-09-26,0.07095909,0.10190109,-0.03732729,112.0,0.03180409,0.042732466,0.019479271
0.0,0.0,0.0,0.0,10-09-26,0.043370247,0.072227776,-0.059338808,111.0,0.0861711,0.026849972,0.052465998
0.0,0.0,0.0,0.0,10-09-26,0.052005768,0.052085295,-0.083571434,111.0,0.0861711,0.026849972,0.052465998
0.0,0.0,0.0,0.0,10-09-26,0.061455727,-0.075261205,-0.18687844,110.0,0.0861711,0.026849972,0.052465998
0.0,0.0,0.0,0.0,10-09-26,0.39029312,-0.08570823,0.26634932,110.0,0.052573506,0.0048588226,0.06101811
0.0,0.0,0.0,0.0,10-09-27,0.41379452,-0.02963168,0.19788384,110.0,0.052573506,0.0048588226,0.06101811
0.0,0.0,0.0,0.0,10-09-27,0.20453262,0.007552387,0.056957006,109.0,0.052573506,0.0048588226,0.06101811
0.0,0.0,0.0,0.0,10-09-27,0.055882454,0.11886071,0.07030249,109.0,0.122823015,-0.017132327,0.029253114
0.0,0.0,0.0,0.0,10-09-27,0.045955658,0.07479915,0.098479986,108.0,0.122823015,-0.017132327,0.029253114
0.0,0.0,0.0,0.0,10-09-27,0.05056858,0.059349578,0.013181686,108.0,0.122823015,-0.017132327,0.029253114
0.0,0.0,0.0,0.0,10-09-27,0.18133736,-0.03155834,-0.017805815,107.0,0.16069666,-0.019575788,0.08972877
