Longitude,Latitude,Speed,Distance,Time,Acc X,Acc Y,Acc Z,Heading,gyro_x,gyro_y,gyro_z
0.0,0.0,0.0,0.0,20-32-40,0.03581524,-0.023878962,0.04984355,44.0,-0.0040958514,-0.010024299,9.932669E-4
0.0,0.0,0.0,0.0,20-32-41,0.03025341,-0.046970062,0.17181373,44.0,-4.3066E-4,9.7127573E-4,-8.393288E-4
0.0,0.0,0.0,0.0,20-32-41,0.038521767,-0.04998824,0.049336195,44.0,-0.0016523905,-0.0026939157,-0.003893655
0.0,0.0,0.0,0.0,20-32-41,0.022577286,-0.022057883,0.116384625,44.0,-0.0034849863,-0.044232752,-0.01611096
0.0,0.0,0.0,0.0,20-32-41,-0.018658638,0.014672741,0.07030547,44.0,-0.0034849863,-0.044232752,-0.01611096
0.0,0.0,0.0,0.0,20-32-41,6.7043304E-4,0.005973961,-0.012073398,44.0,0.0032345315,-0.009413433,-0.0020610592
0.0,0.0,0.0,0.0,20-32-41,0.0048656464,0.029824648,0.10093534,44.0,0.0032345315,-0.009413433,-0.0020610592
0.0,0.0,0.0,0.0,20-32-41,0.03282833,-0.012316313,0.059876084,44.0,-0.007761043,0.0076907934,0.0028258627
0.0,0.0,0.0,0.0,20-32-41,0.032398224,0.011695698,-0.062028408,44.0,-0.007761043,0.0076907934,0.0028258627
0.0,0.0,0.0,0.0,20-32-41,0.03312874,0.008690964,-0.06569803,44.0,-0.011426235,0.019297233,-0.003893655
0.0,0.0,0.0,0.0,20-32-42,-0.008857727,-0.026993513,0.055323005,44.0,-0.011426235,0.019297233,-0.003893655
0.0,0.0,0.0,0.0,20-32-42,-3.452301E-4,0.024574034,-0.036258936,44.0,-0.011426235,-0.028350256,-0.0063371165
0.0,0.0,0.0,0.0,20-32-42,0.03772068,-0.14794469,0.0843029,44.0,-0.011426235,-0.028350256,-0.0063371165
0.0,0.0,0.0,0.0,20-32-42,0.03127575,-0.05033552,0.10057545,44.0,0.041108176,0.029071078,0.0016041321
0.0,0.0,0.0,0.0,20-32-42,0.039060593,0.0025350712,0.14777708,44.0,0.041108176,0.029071078,0.0016041321
0.0,0.0,0.0,0.0,20-32-42,0.05690956,0.053038932,0.11117399,44.0,0.0050671273,0.0028038714,9.932669E-4
0.0,0.0,0.0,0.0,20-32-42,0.03420067,0.0076052155,0.09302533,44.0,0.0050671273,0.0028038714,9.932669E-4
0.0,0.0,0.0,0.0,20-32-42,0.0032444,-0.16521767,0.058684826,44.0,-0.009593639,0.004025602,-2.284636E-4
0.0,0.0,0.0,0.0,20-32-42,0.035508156,0.12556458,0.02898395,44.0,-0.009593639,0.004025602,-2.284636E-4
0.0,0.0,0.0,0.0,20-32-42,0.033153534,0.054471232,0.06709695,44.0,-0.008982774,0.036401458,-2.284636E-4
0.0,0.0,0.0,0.0,20-32-43,0.055412292,0.009635333,0.03490734,44.0,-0.018756617,-0.0026939157,-0.0045045204
0.0,0.0,0.0,0.0,20-32-43,0.014249802,-0.0150804445,0.02046144,44.0,-0.018756617,-0.0026939157,-0.0045045204
0.0,0.0,0.0,0.0,20-32-43,-0.0036993027,-0.16796339,0.04803753,44.0,-0.026087,-0.0075808377,-0.0051153856
0.0,0.0,0.0,0.0,20-32-43,-0.0014410019,0.122008644,0.07504904,44.0,-0.026087,-0.0075808377,-0.0051153856
0.0,0.0,0.0,0.0,20-32-43,0.019192696,-0.040572833,0.09455693,45.0,-0.019978348,-0.0240742,-0.0032827898
0.0,0.0,0.0,0.0,20-32-43,0.025047302,0.12221943,0.084326506,45.0,-0.019978348,-0.0240742,-0.0032827898
0.0,0.0,0.0,0.0,20-32-43,0.04996872,0.035813224,-0.006415963,45.0,0.002012801,-0.016743816,9.932669E-4
0.0,0.0,0.0,0.0,20-32-43,0.058543205,0.16094401,-0.10916376,45.0,0.002012801,-0.016743816,9.932669E-4
0.0,0.0,0.0,0.0,20-32-43,0.042207718,6.557554E-4,0.15217578,45.0,-0.010204504,0.024184154,3.8240163E-4
0.0,0.0,0.0,0.0,20-32-43,0.0119895935,-0.2039375,-0.08730197,45.0,-0.010204504,0.024184154,3.8240163E-4
0.0,0.0,0.0,0.0,20-32-44,0.034748077,0.042672295,-0.005286813,45.0,0.0056779925,0.01318858,0.0028258627
0.0,0.0,0.0,0.0,20-32-44,0.035582542,0.10852029,0.016891599,45.0,0.0056779925,0.01318858,0.0028258627
0.0,0.0,0.0,0.0,20-32-44,-0.031868935,0.0080265105,0.09077501,45.0,-0.0016523905,-8.6132E-4,0.0028258627
0.0,0.0,0.0,0.0,20-32-44,-0.007955551,0.09407471,0.08675909,45.0,-0.0016523905,-8.6132E-4,0.0028258627
0.0,0.0,0.0,0.0,20-32-44,-0.011523247,0.09136896,0.10522699,45.0,-0.0047067166,-0.022241604,0.0016041321
0.0,0.0,0.0,0.0,20-32-44,-0.01085186,0.13207543,0.029659629,45.0,0.029501738,0.018075502,9.932669E-4
0.0,0.0,0.0,0.0,20-32-44,-0.011244774,0.12644736,0.031894803,45.0,0.029501738,0.018075502,9.932669E-4
0.0,0.0,0.0,0.0,20-32-44,0.053209305,-0.009998467,0.2602929,45.0,-0.0071501774,-0.0014721852,-0.0075588464
0.0,0.0,0.0,0.0,20-32-44,-0.013404846,0.020112813,-0.0077935457,45.0,-0.0071501774,-0.0014721852,-0.0075588464
0.0,0.0,0.0,0.0,20-32-44,0.03438759,0.25122297,-0.024015665,45.0,0.01728443,0.062668666,0.0046584583
0.0,0.0,0.0,0.0,20-32-45,-0.089577675,-0.17710276,0.030581594,45.0,0.01728443,0.062668666,0.0046584583
0.0,0.0,0.0,0.0,20-32-45,0.01894474,-0.008986659,0.052544475,45.0,0.0441625,0.018686367,0.010767111
0.0,0.0,0.0,0.0,20-32-45,0.020076752,-0.063271575,-0.034462333,44.0,0.0441625,0.018686367,0.010767111
0.0,0.0,0.0,0.0,20-32-45,-0.012922287,0.12748554,0.042675614,44.0,-0.0071501774,-0.0381241,-8.393288E-4
0.0,0.0,0.0,0.0,20-32-45,0.07950592,0.23854756,0.17861795,44.0,-0.0071501774,-0.0381241,-8.393288E-4
0.0,0.0,0.0,0.0,20-32-45,0.015622139,-0.15919799,-0.076717496,44.0,0.008732319,-0.024685064,0.005269324
0.0,0.0,0.0,0.0,20-32-45,-0.033833504,-0.093140125,0.084177256,44.0,0.008732319,-0.024685064,0.005269324
0.0,0.0,0.0,0.0,20-32-45,-0.028265953,-0.18283297,0.13515484,44.0,0.03561039,0.02357329,0.0077127847
0.0,0.0,0.0,0.0,20-32-45,0.045209885,0.1352689,0.091371894,44.0,0.03561039,0.02357329,0.0077127847
0.0,0.0,0.0,0.0,20-32-45,-0.05557823,-0.14396358,-0.07434738,44.0,-0.0071501774,0.01318858,3.8240163E-4
0.0,0.0,0.0,0.0,20-32-46,0.018521309,0.11702553,0.052120686,44.0,-0.0071501774,0.01318858,3.8240163E-4
0.0,0.0,0.0,0.0,20-32-46,0.06931782,0.07721454,0.17428398,45.0,-0.056630265,-0.032015447,-0.011224038
0.0,0.0,0.0,0.0,20-32-46,0.044083595,-0.08191812,0.08287096,45.0,0.012397511,-0.01735468,0.0028258627
0.0,0.0,0.0,0.0,20-32-46,0.049613,-0.08238515,0.056504488,45.0,0.012397511,-0.01735468,0.0028258627
0.0,0.0,0.0,0.0,20-32-46,0.024023056,-0.07585567,0.114463806,45.0,1.8020524E-4,0.013799446,0.0016041321
0.0,0.0,0.0,0.0,20-32-46,0.0013847351,-0.061430186,0.08417201,45.0,1.8020524E-4,0.013799446,0.0016041321
0.0,0.0,0.0,0.0,20-32-46,0.006706238,-0.063589334,-0.010457277,45.0,0.004456262,0.041288383,0.0016041321
0.0,0.0,0.0,0.0,20-32-46,0.006706238,-0.063589334,-0.010457277,45.0,0.004456262,0.041288383,0.0016041321
