Longitude,Latitude,Speed,Distance,Time,Acc X,Acc Y,Acc Z,Heading,gyro_x,gyro_y,gyro_z
0.0,0.0,0.0,0.0,15-36-30,0.20785141,0.49403083,-1.2460644,162.0,0.015084096,0.016141502,0.008629083
0.0,0.0,0.0,0.0,15-36-30,0.3972473,0.6127986,-1.0872347,163.0,0.015084096,0.016141502,0.008629083
0.0,0.0,0.0,0.0,15-36-30,0.3813324,0.5234899,-1.0917945,163.0,0.051125146,-0.036392905,-0.007253414
0.0,0.0,0.0,0.0,15-36-30,0.40939236,0.5632501,-1.2411877,163.0,0.051125146,-0.036392905,-0.007253414
0.0,0.0,0.0,0.0,15-36-30,0.58305454,0.43981534,-1.4527589,163.0,-0.037450317,2.5900686E-4,0.06727215
0.0,0.0,0.0,0.0,15-36-31,-0.16690159,0.4294249,-0.74835694,163.0,-0.037450317,2.5900686E-4,0.06727215
0.0,0.0,0.0,0.0,15-36-31,0.12854958,0.41617963,-1.0208015,163.0,-0.026454741,0.03935438,-0.01030774
0.0,0.0,0.0,0.0,15-36-31,0.5429077,0.4992052,-1.6722103,163.0,-0.026454741,0.03935438,-0.01030774
0.0,0.0,0.0,0.0,15-36-31,0.5301056,0.29951686,-1.2711277,163.0,-0.10892155,-0.038836367,-0.06039869
0.0,0.0,0.0,0.0,15-36-31,0.07564068,0.40199605,-1.5071529,164.0,0.13420282,0.1340385,-0.113543965
0.0,0.0,0.0,0.0,15-36-31,0.116431236,0.28476822,-1.4637214,163.0,0.13420282,0.1340385,-0.113543965
0.0,0.0,0.0,0.0,15-36-31,0.01615715,0.63909423,-2.0510623,162.0,0.22522174,0.07600629,-0.009696875
0.0,0.0,0.0,0.0,15-36-31,0.35361767,-0.13367018,-1.6876116,162.0,0.22522174,0.07600629,-0.009696875
0.0,0.0,0.0,0.0,15-36-31,0.4132948,-0.15515697,0.07190871,160.0,0.4017618,0.08211495,-0.020692449
0.0,0.0,0.0,0.0,15-36-31,0.4409542,0.15867014,-0.97211015,159.0,0.4017618,0.08211495,-0.020692449
0.0,0.0,0.0,0.0,15-36-32,0.45590973,0.5121724,-1.4340609,158.0,0.021803614,-0.15367903,-0.049403116
0.0,0.0,0.0,0.0,15-36-32,0.5557289,0.1405423,-0.4131236,158.0,0.021803614,-0.15367903,-0.049403116
